﻿公司名稱,廠商地址,產品項目,產品型號,許可編號,許可日期,有效日期
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,蓮蓬頭(普級),ZDOC076CR,2.503E+11,20250325,20280324
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,一般水龍頭,BLU071CR,2.206E+11,20220825,20250824
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,一般水龍頭,54122-00010,2.208E+11,20221025,20251024
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,蓮蓬頭(普級),ZDOC078CR,2.208E+11,20221025,20251024
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,蓮蓬頭(普級),ZDOC104CR,2.208E+11,20221025,20251024
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,一般水龍頭,H4486AA,2.208E+11,20221025,20251024
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,一般水龍頭,GR071CR,2.21E+11,20221025,20251024
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,沖水小便器(普級),823.36/0007,2.301E+11,20230125,20260124
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,兩段式沖水器,T06-5113,2.302E+11,20230325,20260324
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,一般水龍頭,LM075CR,2.303E+11,20230525,20260524
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,沖水小便器(普級),829.30/00,2.304E+11,20230425,20260424
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,兩段式省水馬桶(普級),T461401,2.307E+11,20230725,20260724
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,一般水龍頭,SY071CR,2.309E+11,20230925,20260924
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,一般水龍頭,SY075CR,2.309E+11,20230925,20260924
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,一般水龍頭,BD227,2.311E+11,20231125,20261124
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,一般水龍頭,55002-00010,2.311E+11,20231125,20261124
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,一般水龍頭,69124-00010,2.402E+11,20240425,20270424
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,一般水龍頭,69122-00010,2.402E+11,20240425,20270424
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,一般水龍頭,49001-031,2.402E+11,20240425,20270424
三緯企業股份有限公司,40862臺中市南屯區文心路1段449號,蓮蓬頭(普級),ZDOC081CR,2.402E+11,20240425,20270424
